paged,test1,1427,482,0,0.0
paged,test2,1569,800,0,0.0
paged,test3,34,63,0,0.0
paged,test4,38,64,0,0.0
paged,test5,38,64,0,0.0
paged,test6,37,64,0,0.0
flat,test1,1427,482,468,0.970954356846473
flat,test2,1569,800,771,0.96375
flat,test3,34,63,58,0.9206349206349206
flat,test4,38,64,59,0.921875
flat,test5,38,64,59,0.921875
flat,test6,37,64,59,0.921875
segmented,test1,1427,482,468,0.970954356846473
segmented,test2,1569,800,771,0.96375
segmented,test3,34,63,58,0.9206349206349206
segmented,test4,38,64,59,0.921875
segmented,test5,38,64,59,0.921875
segmented,test6,37,64,59,0.921875